ascore,category,description,ein,tot_exp,admin_exp_p,fund_eff,fund_exp_p,program_exp_p,fscore,leader,leader_comp,leader_comp_p,motto,name,tot_rev,score,state,subcategory,size,program_exp,fund_exp,admin_exp
85.0,Human Services,"Horizon House is a full-service agency that connects our homeless neighbors with integrated, comprehensive services. We provide a safe place and basic services for our community's homeless, serving them with dignity and respect, as they take steps towards a more stable life. Horizon House will be a model community advocate and direct service provider offering comprehensive support services to meet our homeless neighbors' unique needs resulting in self-sufficiency and permanent, stable housing.",35-1759503,1410498.0,0.115,0.05,0.11699999999999999,0.767,87.65,Teresa Wessel,73882.0,0.052300000000000006,From shelter for a day…to stability for a lifetime,Horizon House,1813690.0,86.26,IN,Homeless Services,small,1081851.966,165028.266,162207.27000000002
96.0,Education,"Founded in 1947, the Horatio Alger Association of Distinguished Americans is dedicated to the simple but powerful belief that hard work, honesty and determination can conquer all obstacles. Today, through its Members, the Association continues to educate our nation's young people about the economic and personal opportunities afforded them by the promise of the American free enterprise system. Through its scholarship programs, the Association encourages students to pursue their own version of the American Dream. While providing scholarship opportunities, Association Members mentor the Scholars and underscore the importance of service to others. The Members work directly to provide promising young people with the support, education and confidence needed to realize their aspirations.",13-1669975,29499682.0,0.042,0.01,0.009000000000000001,0.9470000000000001,90.0,Terrence J. Giroux,3448282.0,0.1168,An investment in America's future,Horatio Alger Association of Distinguished Americans,33343658.0,92.38,VA,Scholarship and Financial Support,big,27936198.854000002,265497.13800000004,1238986.644
100.0,International,"The Grant Foundation's purpose is to operate Hôpital Albert Schweitzer (HAS) in Haiti. The inspiration to establish Hôpital Albert Schweitzer in Haiti came to Larimer and Gwen Mellon through a 1947 Life Magazine article about Dr. Albert Schweitzer. Construction of the hospital began in 1954, and it was opened in 1956. The mission of Hôpital Albert Schweitzer is to collaborate with the people of the Artibonite Valley as they strive to improve their health and quality of life. HAS provides medical care and community health and development programs for more than 350,000 impoverished people in the Artibonite Valley of central Haiti.",25-1017587,7691643.0,0.039,0.11,0.096,0.863,89.43,Louis Martin,195000.0,0.0253,Operating Hôpital Albert Schweitzer,Hôpital Albert Schweitzer Haiti,6809943.0,92.52,PA,Development and Relief Services,mid,6637887.909,738397.728,299974.077
100.0,Health,"HopeKids provides ongoing events & activities and a powerful, unique support community for families who have a child with cancer or some other life-threatening medical condition. We surround these remarkable children and their families with the message that hope can be a powerful medicine.",86-1042378,3823368.0,0.049,0.06,0.071,0.879,97.5,Josh Taylor,122857.0,0.0321,Restoring Hope. Transforming Lives.,HopeKids,4168267.0,98.23,AZ,Patient and Family Support,mid,3360740.472,271459.12799999997,187345.032
93.0,Religion,"Hopegivers International provides help for today and hope for eternity through initiatives by our ministry partners to rescue orphaned, abandoned, and at risk children, assist the needy and oppressed, empower the work of the Gospel, and work toward fulfilling the Great Commission. Hopegivers International is a Christ-centered ministry committed to integrity, service to God and His vision for this ministry, and compassion towards those we serve, regardless of race, creed or religious affiliation. Hopegivers International supports ministry efforts primarily in India, Burma and Haiti. Daily we support 10,000 children and adults by providing meals, housing, education, health care, spiritual training, and hope through the love of Christ.",57-0828243,1535027.0,0.124,0.12,0.115,0.759,80.63,Samuel A. Thomas,35000.0,0.022799999999999997,One Million Orphan Leaders by 2030,Hopegivers International,1391808.0,85.43,GA,Religious Activities,small,1165085.493,176528.105,190343.348
100.0,International,"HOPE worldwide's vision is to bring hope and change lives. We are a faith-based international charity that serves the poor and needy through sustainable, high-impact, community-based services on a non-sectarian basis. With a global pool of committed staff and volunteers, HOPE worldwide annually serves more than a million needy people on all six inhabited continents. We treat the sick, feed the hungry, house the homeless, comfort the downcast, educate the poor and provide loving homes for the abandoned. Our work is produced by faith, prompted by love and inspired by hope.",04-3129839,21961902.0,0.159,0.08,0.057999999999999996,0.782,88.05,Robert Carrillo,97414.0,0.0044,Bringing hope. Changing lives.,HOPE worldwide,22347169.0,91.55,CA,Development and Relief Services,big,17174207.364,1273790.3159999999,3491942.418
96.0,International,"Founded in 1991, Hope Unlimited for Children transforms the lives of children at mortal risk, providing them and their future generations a productive future and eternal hope. We minister to the physical, educational, and spiritual needs of Brazil's street children. Hope Unlimited helps these children to experience personal transformation while being equipped to live successful, productive lives as adult members of society. Hope's comprehensive Christ-centered model is long-term, residential, educational and community-based. In order to impact the lives of tens of thousands of street children, we are developing the Hope Institute to train local organizations to serve more effectively and expand their reach.",33-0480141,1393809.0,0.11,0.1,0.107,0.782,75.55,Philip Smith,134231.0,0.09630000000000001,Transforming the lives of Brazil's street kids,Hope Unlimited for Children,1481945.0,82.48,CA,Development and Relief Services,small,1089958.638,149137.563,153318.99
73.0,Research and Public Policy,"Founded in 2003 by young entrepreneurs from a wide range of industries, Hope Street Group is a national, nonpartisan 501(c3) that is mobilizing the tremendous untapped ability outside of government- creative business minds, nonprofit heads, and experienced practitioners in key fields - help our leaders tackle the economic challenges our nation faces. We consider ourselves a coalition of the reasonable, welcoming members of all political stripes, and we are dedicated to finding and driving smart solutions to ensure America's future prosperity. Hope Street Group represents a different way of thinking and acting on public policy. Fiercely bipartisan and relentlessly focused on evidence and results.",45-0497577,4944604.0,0.122,0.06,0.059000000000000004,0.818,96.58,Martin Scaglione,275000.0,0.0556,Expanding economic opportunity and prosperity for all Americans,Hope Street Group,5114409.0,80.75,DC,Social and Public Policy Research,mid,4044686.0719999997,291731.636,603241.688
89.0,Human Services,"HOPE South Florida provides hope for the homeless and hurting through services and partnerships with the Christian community. HOPE's goal is to bring about transformation in the lives of the homeless through the provision of housing solutions and support services, and to serve as a guiding partner in transforming, educating, and bringing the faith community into relationship with those served.",65-0670031,3336422.0,0.11199999999999999,0.07,0.063,0.8240000000000001,84.25,Ted Greer Jr.,140346.0,0.042,A holistic Christian response to homelessness and poverty in our community,HOPE South Florida,2976976.0,86.41,FL,"Youth Development, Shelter, and Crisis Services",small,2749211.728,210194.586,373679.26399999997
62.0,Education,"The mission of Hope Rural School is to offer hope to families. The school primarily serves children from immigrant families by providing them with a Catholic Elementary education in grades Pre-K through 5 in an environment that nurtures the Gospel values of mercy, justice, and love. We do this through fostering the principles of Christian discipleship; supporting, guiding and encouraging parents in the education of their children; developing an appreciation and respect for heritage; and encouraging and enabling graduates to reach their full potential through advanced education.",59-2001615,1458765.0,0.21,0.01,0.01,0.779,84.78,Sister Elizabeth Dunn,0.0,0.0,Offering hope to families,Hope Rural School,2071055.0,71.05,FL,Youth Education Programs and Services,small,1136377.935,14587.65,306340.64999999997
100.0,Human Services,"The HOPE Program empowers New Yorkers living in poverty to build sustainable futures through comprehensive training, jobs, advancement and lifelong career support. We offer training for diverse careers as well as specialized programs in the food and green collar sectors. Our comprehensive approach includes digital literacy, financial access, mental health, daily meals, transportation and more.",13-3268539,2625909.0,0.17800000000000002,0.13,0.141,0.68,79.85,Jennifer Mitchell,205640.0,0.0783,Work. Grow. Sustain.,The HOPE Program,2964058.0,85.75,NY,Social Services,small,1785618.12,370253.16899999994,467411.802
89.0,Human Services,"Hope Ministries has been serving those who are homeless in Des Moines and central Iowa since 1915. We are a Christ-centered, faith-based ministry that provides programs and services for homeless and hungry men, women and children. We are one of the largest non-denominational collaborative efforts in Iowa focused on homelessness and hunger issues. We reach out to the unsheltered and displaced by offering food, clothing, shelter and support through emergency and long-term recovery services.",42-1512992,12674183.0,0.051,0.1,0.10800000000000001,0.8390000000000001,92.18,Leon Negen,154616.0,0.0121,Giving hope. Changing lives.,"Hope Ministries, Iowa",13499070.0,90.45,IA,Homeless Services,mid,10633639.537,1368811.7640000002,646383.333
100.0,International,"Founded in 1997, HOPE International (HOPE) is a Christian faith-based non-profit organization focused on alleviating physical and spiritual poverty through microenterprise development. HOPE believes that microfinance can be a powerful force in changing the world for the better and that loving people as Christ loved others means caring for both physical and spiritual needs. HOPE practices a holistic approach to poverty alleviation. Microcredit and basic business training enable individuals to build businesses and break free from physical poverty. Clients find that their increased income enables them to provide more nutritious and regular meals as well as improved housing and education for their children.",23-2836648,16207811.0,0.07400000000000001,0.1,0.11900000000000001,0.805,87.86,Peter Greer,141612.0,0.0087,Alleviating physical and spiritual poverty through microenterprise development,HOPE International,17043716.0,91.41,PA,Development and Relief Services,big,13047287.855,1928729.509,1199378.0140000002
100.0,Human Services,"Hope House of Colorado empowers parenting teenage moms to strive for personal and economic self-sufficiency and to understand their significance in God's sight, resulting in a healthy future for them, and for their children. 

Hope House of Colorado was incorporated in October 2000, and the next three years were spent developing a comprehensive self sufficiency program, building a funding base, and learning how to run a non-profit organization. In April 2003, Hope House opened the doors of its first Residential Program. In 2006, Hope House moved into their own facility (Read our story). In 2007, Hope House began providing Community Programs to teen mothers, including a Mentoring Program, and a GED Program.",84-1567838,1305147.0,0.099,0.1,0.203,0.696,82.94,Lisa Steven,67648.0,0.0518,Committed to transforming the lives of teen mothers around the world.,Hope House of Colorado,2247926.0,87.93,CO,Children's and Family Services,small,908382.3119999999,264944.841,129209.553
89.0,Human Services,"Hope House's works to break the cycle of domestic violence by providing safe refuge and supportive services that educate and empower women and children. Hope House will advocate social change that protects and engenders a person's right to live a life free of abuse. Hope House services form a safety net of prevention, education and support for thousands of people traumatized by domestic violence every year. Residential services are provided through two secure locations in Independence and Lee's Summit, Missouri and comprehensive outreach services are provided to those not needing secure shelter.",43-1265685,4759515.0,0.105,0.12,0.109,0.785,87.58,Mary Anne Metheny,103313.0,0.0217,A bright light in a community that cares.,Hope House,4663480.0,88.26,MO,Social Services,mid,3736219.2750000004,518787.135,499749.07499999995
93.0,Human Services,"HOPE's mission is to prevent and reduce homelessness in Central Florida by equipping individuals and families to become self-sufficient through Housing, Outreach, Prevention and Education. HOPE addresses the issues facing individuals and families in crisis by networking with local agencies and organizations, partnering to become more effective, studying best and emerging practices, and developing innovative problem-solving ideas in a comprehensive, coordinated, and strategic fashion. We educate and transform the way people view and treat those in need, by providing awareness, and the opportunity to create change. HOPE is engaging communities to develop and plan long term solutions that address the problems facing those in crisis. Together we will make a difference in the lives of those in our community.",20-8490916,1799837.0,0.031,0.09,0.087,0.88,84.34,Joan Faulkner,67888.0,0.0377,"…preventing homelessness through housing, outreach, prevention, education",Hope Helps,1877302.0,87.87,FL,Homeless Services,small,1583856.56,156585.819,55794.947
75.0,Health,"Our mission is serving humanity through cardiovascular research and education. We have a 50-year history of revolutionary medical advances and educational curricula that make heart disease - America's No. 1 cause of death - more treatable, beatable, and preventable.",91-1138000,1509945.0,0.084,0.31,0.177,0.738,81.8,Cherie Skager,99908.0,0.0661,There is Hope in the fight against heart disease.,The Hope Heart Institute ,372689.0,78.13,WA,"Diseases, Disorders, and Disciplines",small,1114339.41,267260.265,126835.38
73.0,Human Services,"Hope Harbor provides on-site services for at-risk teens through its Children's Home and Academy. In addition, off-site Christian counseling and parent training services are provided. Parent training workshops are not only offered in church and community settings, but are taken into prison settings to reach out to incarcerated mothers and fathers. Many programs. One purpose. To change the lives of children and families in need.",73-0623050,1215514.0,0.17,0.11,0.125,0.7040000000000001,77.68,Bob Whiddon,77787.0,0.0639,Restoring Hope and Equipping Children and Families for Lives with Meaning and Purpose,Hope Harbor Children's Home & Family Ministries,1381840.0,75.22,OK,"Youth Development, Shelter, and Crisis Services",small,855721.856,151939.25,206637.38
85.0,Human Services,"Hope Gospel Mission exists to offer Christ-centered, life changing help to the homeless and needy in Western Wisconsin. We help them by meeting their basic needs without enabling them, requiring them to work and help support themselves, providing them a safe and orderly place to stay, addressing the root causes of their situation, offering them a complete life change through our Renewed Hope Program, sharing with them the Gospel of Jesus Christ and Biblical values, involving them in local Bible-believing churches, keeping them accountable for their actions, showing them both care and correction.",39-1948605,3408068.0,0.087,0.1,0.11199999999999999,0.8,80.01,Sandy Polzin,81472.0,0.0239,Lives Rescued. Rebuilt. Renewed.,Hope Gospel Mission,3670789.0,82.32,WI,Homeless Services,small,2726454.4000000004,381703.616,296501.91599999997
100.0,Health,"The Hope Foundation was established in 1993 to support SWOG's mission to eradicate cancer through cancer clinical trials and education. The Hope Foundation has directed approximately $21million toward the support of new and continuing SWOG initiatives in clinical research, education, training, professional development, group meetings, international summits, biostatistical technology and Group infrastructure. SWOG conducts adult cancer clinical trials in prostate, breast, lung, leukemia, gastrointestinal, melanoma, genitourinary, lymphoma, and myeloma, and leads key basic science and genomic medicine investigations in bettering treatments.",74-2655302,7693060.0,0.10800000000000001,0.01,0.005,0.8859999999999999,92.5,Johanna R Horn,139200.0,0.018000000000000002,"The philanthropic arm of SWOG, a national cancer research cooperative group that leads patient-centered clinical trials.",The Hope Foundation,9914707.0,94.69,MI,Medical Research,mid,6816051.159999999,38465.3,830850.4800000001
81.0,Religion,"Hope For The Hungry is an interdenominational ministry focusing on assisting children worldwide, and serving missionaries who have responded to God's call. We exist to make a substantial contribution toward 'Sharing the Bread of Life with a Starving World.' That entails meeting both the spiritual and physical needs that exist among the people God has called us to serve. We stress that while physical assistance is scripturally mandated, feeding the body without feeding the spirit, ultimately, leads only to death. We also stress that it is essential to the process of world evangelization to work through Christian leaders within the group of people we are striving to reach for Jesus. A good portion of our energies, therefore, is spent in developing and encouraging promising foreign-national Christian leaders.",74-2256304,902871.0,0.09699999999999999,0.04,0.037000000000000005,0.865,82.5,This organization did not report a CEO,,,Share the bread of life with a starving world,Hope for the Hungry,847439.0,81.73,TX,Religious Activities,small,780983.415,33406.227000000006,87578.487
100.0,International,"Hope For Haiti's Children (HFHC) is a faith-based organization founded in 1995 in order to demonstrate Christian compassion to poverty-bound Haitian children and their families, providing opportunities for these children to become leaders in their homes, churches, and communities. Today, there are over 1,600 children sponsored in ten different schools associated with churches of Christ in central and southern Haiti. Currently Hope for Haiti's Children average 100 new students per year to the Child Education Sponsorship program. HFHC follows a sustainable approach in this work, having established an in-country network of trusted local Christian educators, business leaders, and other professionals who carry out the day-to-day operations.",31-1811917,2546956.0,0.065,0.05,0.06,0.873,100.0,Kenneth Bever,93229.0,0.0366,Making a Difference...One Child at a Time,Hope for Haiti's Children,3191189.0,100.0,OH,Development and Relief Services,small,2223492.588,152817.36,165552.14
